FD:A1:04:E0:B2:92,name
datetime,value
2023-01-26 13:27:14.267000,0
2023-01-26 13:27:15.266000,0
2023-01-26 13:27:16.267000,0
2023-01-26 13:27:17.266000,0
2023-01-26 13:27:18.266000,0
2023-01-26 13:27:19.267000,0
2023-01-26 13:27:20.266000,0
2023-01-26 13:27:21.266000,0
2023-01-26 13:27:22.267000,0
2023-01-26 13:27:23.266000,0
2023-01-26 13:27:24.266000,0
2023-01-26 13:27:25.265000,0
2023-01-26 13:27:26.266000,0
2023-01-26 13:27:27.266000,0
2023-01-26 13:27:28.265000,0
2023-01-26 13:27:29.266000,0
2023-01-26 13:27:30.266000,0
2023-01-26 13:27:31.265000,0
2023-01-26 13:27:32.266000,0
2023-01-26 13:27:33.266000,0
2023-01-26 13:27:34.265000,0
2023-01-26 13:27:35.266000,0
2023-01-26 13:27:36.265000,0
2023-01-26 13:27:37.265000,0
2023-01-26 13:27:38.266000,0
2023-01-26 13:27:39.265000,0
2023-01-26 13:27:40.265000,0
2023-01-26 13:27:41.264000,0
2023-01-26 13:27:42.265000,0
2023-01-26 13:27:43.265000,0
2023-01-26 13:27:44.264000,0
2023-01-26 13:27:45.265000,0
2023-01-26 13:27:46.265000,0
2023-01-26 13:27:47.264000,0
2023-01-26 13:27:48.265000,0
2023-01-26 13:27:49.264000,0
2023-01-26 13:27:50.264000,0
2023-01-26 13:27:51.265000,0
2023-01-26 13:27:52.264000,0
2023-01-26 13:27:53.264000,0
2023-01-26 13:27:54.265000,0
2023-01-26 13:27:55.264000,0
2023-01-26 13:27:56.264000,0
2023-01-26 13:27:57.263000,0
2023-01-26 13:27:58.264000,0
2023-01-26 13:27:59.264000,0
2023-01-26 13:28:00.263000,0
2023-01-26 13:28:01.264000,0
2023-01-26 13:28:02.264000,0
2023-01-26 13:28:03.263000,0
2023-01-26 13:28:04.264000,0
2023-01-26 13:28:05.264000,0
2023-01-26 13:28:06.263000,0
2023-01-26 13:28:07.264000,0
2023-01-26 13:28:08.263000,0
2023-01-26 13:28:09.263000,0
2023-01-26 13:28:10.264000,0
2023-01-26 13:28:11.263000,0
2023-01-26 13:28:12.263000,0
2023-01-26 13:28:13.264000,0
2023-01-26 13:28:14.263000,0
2023-01-26 13:28:15.263000,0
2023-01-26 13:28:16.262000,0
2023-01-26 13:28:17.263000,0
2023-01-26 13:28:18.263000,0
2023-01-26 13:28:19.262000,0
2023-01-26 13:28:20.263000,0
2023-01-26 13:28:21.262000,0
2023-01-26 13:28:22.262000,0
2023-01-26 13:28:23.263000,0
2023-01-26 13:28:24.262000,0
2023-01-26 13:28:25.262000,0
2023-01-26 13:28:26.263000,0
2023-01-26 13:28:27.262000,0
2023-01-26 13:28:28.262000,0
2023-01-26 13:28:29.261000,0
2023-01-26 13:28:30.262000,0
2023-01-26 13:28:31.262000,0
2023-01-26 13:28:32.261000,0
2023-01-26 13:28:33.262000,0
2023-01-26 13:28:34.262000,0
2023-01-26 13:28:35.261000,0
2023-01-26 13:28:36.262000,0
2023-01-26 13:28:37.261000,0
2023-01-26 13:28:38.261000,0
2023-01-26 13:28:39.262000,0
2023-01-26 13:28:40.261000,0
2023-01-26 13:28:41.261000,0
2023-01-26 13:28:42.262000,0
2023-01-26 13:28:43.261000,0
2023-01-26 13:28:44.261000,0
2023-01-26 13:28:45.262000,0
2023-01-26 13:28:46.261000,0
2023-01-26 13:28:47.261000,0
2023-01-26 13:28:48.261000,0
2023-01-26 13:28:49.261000,0
2023-01-26 13:28:50.261000,0
2023-01-26 13:28:51.261000,0
2023-01-26 13:28:52.261000,0
2023-01-26 13:28:53.260000,0
2023-01-26 13:28:54.261000,0
2023-01-26 13:28:55.261000,0
2023-01-26 13:28:56.260000,0
2023-01-26 13:28:57.261000,0
2023-01-26 13:28:58.261000,0
2023-01-26 13:28:59.260000,0
2023-01-26 13:29:00.261000,0
2023-01-26 13:29:01.261000,0
2023-01-26 13:29:02.260000,0
2023-01-26 13:29:03.261000,0
2023-01-26 13:29:04.260000,0
2023-01-26 13:29:05.260000,0
2023-01-26 13:29:06.261000,0
2023-01-26 13:29:07.260000,0
2023-01-26 13:29:08.260000,0
