com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3449,9e039e36-68e5-473a-a2ad-c94e44a84f92.binning_data.json,2037574,6000,11,2023-02-02 09:38:07.809,com.sec.android.app.shealth,2023-02-01 08:16:50.293,9e039e36-68e5-473a-a2ad-c94e44a84f92.source_info.json,1.265303,2578.1487,137.8399,3438,VfS0qUERdZ,com.sec.android.app.shealth,0,9e039e36-68e5-473a-a2ad-c94e44a84f92.achievement.json,9e039e36-68e5-473a-a2ad-c94e44a84f92,1675209600000,
136,bc1f0dc1-2e96-47d0-9f65-c2da9081c80d.binning_data.json,86235,6000,0,2023-02-06 06:00:01.774,com.sec.android.app.shealth,2023-02-06 06:00:01.774,,1.1645979,100.43,4.33,136,aZEautf6/t,com.sec.android.app.shealth,0,bc1f0dc1-2e96-47d0-9f65-c2da9081c80d.achievement.json,bc1f0dc1-2e96-47d0-9f65-c2da9081c80d,1675555200000,
1926,709070b5-bf8a-4491-abc1-bdd6ce654fe9.binning_data.json,1161645,6000,7,2023-02-08 06:00:03.047,com.sec.android.app.shealth,2023-02-07 06:00:02.761,,1.2330351,1432.35,95.550026,1919,iRIQdWw88T,com.sec.android.app.shealth,0,709070b5-bf8a-4491-abc1-bdd6ce654fe9.achievement.json,709070b5-bf8a-4491-abc1-bdd6ce654fe9,1675641600000,
2575,c04656ee-0000-4796-b960-377278947891.binning_data.json,1524795,6000,23,2023-02-09 06:00:02.064,com.sec.android.app.shealth,2023-02-08 06:00:03.030,,1.2673244,1932.4104,130.50996,2552,iRIQdWw88T,com.sec.android.app.shealth,0,c04656ee-0000-4796-b960-377278947891.achievement.json,c04656ee-0000-4796-b960-377278947891,1675728000000,
1458,9b1ef779-b4e2-4156-86a2-440336e0c562.binning_data.json,768310,6000,29,2023-02-03 05:49:55.244,com.sec.android.app.shealth,2023-02-02 19:06:19.049,9b1ef779-b4e2-4156-86a2-440336e0c562.source_info.json,1.4399916,1106.361,67.729866,1429,VfS0qUERdZ,com.sec.android.app.shealth,0,9b1ef779-b4e2-4156-86a2-440336e0c562.achievement.json,9b1ef779-b4e2-4156-86a2-440336e0c562,1675296000000,
234,2138ea38-5568-4070-8b85-d97da24469a8.binning_data.json,143416,6000,0,2023-02-07 06:00:01.832,com.sec.android.app.shealth,2023-02-07 06:00:01.832,,1.2167374,174.5,7.4199996,234,aZEautf6/t,com.sec.android.app.shealth,0,2138ea38-5568-4070-8b85-d97da24469a8.achievement.json,2138ea38-5568-4070-8b85-d97da24469a8,1675641600000,
1844,e796d090-3e3b-49e9-90db-4311f609246b.binning_data.json,1131838,6000,0,2023-02-08 06:00:02.121,com.sec.android.app.shealth,2023-02-08 06:00:02.121,,1.2082379,1367.5298,56.599995,1844,aZEautf6/t,com.sec.android.app.shealth,0,e796d090-3e3b-49e9-90db-4311f609246b.achievement.json,e796d090-3e3b-49e9-90db-4311f609246b,1675728000000,
618,c7521a99-ea0c-452b-98a9-444e8a21af8d.binning_data.json,371342,6000,5,2023-02-09 06:00:02.042,com.sec.android.app.shealth,2023-02-09 06:00:02.042,,1.2368928,459.31064,31.199953,613,iRIQdWw88T,com.sec.android.app.shealth,0,c7521a99-ea0c-452b-98a9-444e8a21af8d.achievement.json,c7521a99-ea0c-452b-98a9-444e8a21af8d,1675814400000,
878,2c747a5e-7da7-4be2-b654-f19017acce53.binning_data.json,546195,6000,2,2023-02-04 03:37:06.352,com.sec.android.app.shealth,2023-02-03 10:44:21.436,2c747a5e-7da7-4be2-b654-f19017acce53.source_info.json,1.188935,649.3907,41.549934,876,VfS0qUERdZ,com.sec.android.app.shealth,0,2c747a5e-7da7-4be2-b654-f19017acce53.achievement.json,2c747a5e-7da7-4be2-b654-f19017acce53,1675382400000,
1195,ca0ca75e-cd1e-4945-997d-7fb3532fce92.binning_data.json,721480,6000,9,2023-02-10 06:00:01.558,com.sec.android.app.shealth,2023-02-10 06:00:01.558,,1.2383704,893.4601,37.919994,1186,aZEautf6/t,com.sec.android.app.shealth,0,ca0ca75e-cd1e-4945-997d-7fb3532fce92.achievement.json,ca0ca75e-cd1e-4945-997d-7fb3532fce92,1675900800000,
