com.samsung.shealth.tracker.pedometer_step_count,6227003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
9766,4,0,19,2023-01-23 02:12:00.000,,,2023-01-23 02:13:40.036,2023-01-23 02:13:40.036,19,1.5,14.65,0.67,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 02:13:00.000,2d14c127-45e7-4ca3-afb4-994b97b554ce,
15894,4,0,27,2023-01-23 05:06:00.000,,,2023-01-23 05:06:32.512,2023-01-23 05:06:32.512,27,1.2777778,20.31,0.84,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 05:07:00.000,5cd5fb1d-b517-4313-a347-9cad69d93fa6,
7310,4,0,13,2023-01-23 04:36:00.000,,,2023-01-23 04:38:41.495,2023-01-23 04:38:41.495,13,1.3611112,9.95,0.39,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 04:37:00.000,431a0483-ca09-4204-8cc6-a3125c910a29,
4388,4,0,11,2023-01-23 11:04:00.000,,,2023-01-23 11:05:55.478,2023-01-23 11:05:55.478,11,2.0555556,9.02,0.34,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 11:05:00.000,b21d8d11-52da-4fe9-8709-61c08ae57893,
3993,4,0,10,2023-01-23 05:18:00.000,,,2023-01-23 05:34:59.115,2023-01-23 05:34:59.115,10,2.0833333,8.32,0.23,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 05:19:00.000,0035f999-6908-43cc-b74f-67a99daca66d,
32446,4,0,56,2023-01-23 01:43:00.000,,,2023-01-23 01:46:28.481,2023-01-23 01:46:28.481,56,1.2777778,41.46,1.95,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:44:00.000,581e4ff3-5957-4edc-a2e3-1ce1b3ec6a37,
10201,4,0,17,2023-01-23 02:13:00.000,,,2023-01-23 02:15:00.795,2023-01-23 02:13:40.099,17,1.2282747,12.529901,0.63000625,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 02:14:00.000,9dd22ae5-397e-4255-886f-dc2216abcff0,
7598,4,0,11,2023-01-23 09:45:00.000,,,2023-01-23 09:45:35.423,2023-01-23 09:45:35.423,11,1.0277778,7.81,0.42,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 09:46:00.000,6e4dd47e-41e7-4a79-a3dc-08a987671b41,
41474,4,0,73,2023-01-23 05:30:00.000,,,2023-01-23 05:37:09.759,2023-01-23 05:37:09.759,73,1.3333334,55.3,2.23,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 05:31:00.000,992a6cbd-f935-4486-a43b-8311f30457ff,
18078,4,0,23,2023-01-23 16:19:00.000,,,2023-01-23 16:19:46.944,2023-01-23 16:19:46.944,23,0.8888889,16.07,0.72,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 16:20:00.000,e9bc48ec-a198-4a60-a29a-f44604465a3c,
45685,4,0,85,2023-01-23 10:18:00.000,,,2023-01-23 10:21:28.410,2023-01-23 10:21:28.410,85,1.4444444,65.99,2.57,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:19:00.000,fc4f49d8-5f4e-4e4e-9275-33c7c363cfa5,
1158,4,0,2,2023-01-23 19:35:00.000,,,2023-01-23 19:37:24.718,2023-01-23 19:37:24.718,2,1.2777778,1.48,0.06,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 19:36:00.000,8475b82d-9598-4b7d-b47d-3046614bf270,
59919,4,0,115,2023-01-23 10:22:00.000,,,2023-01-23 10:32:32.048,2023-01-23 10:32:32.048,115,1.5,89.88,3.45,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:23:00.000,3552030e-4c23-418a-b730-a142ed040b8a,
4556,4,0,11,2023-01-23 21:54:00.000,,,2023-01-23 21:54:59.571,2023-01-23 21:54:59.571,11,2.027778,9.24,0.33,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 21:55:00.000,aa836c79-9771-4605-8276-80916a8d10d7,
5206,4,0,10,2023-01-23 10:41:00.000,,,2023-01-23 10:54:59.877,2023-01-23 10:54:59.877,10,1.5,7.81,0.32,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:42:00.000,954af296-71c3-4875-8274-86992445e8e3,
9022,4,0,16,2023-01-23 19:28:00.000,,,2023-01-23 19:35:05.819,2023-01-23 19:35:05.819,16,1.3611112,12.28,0.5,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 19:29:00.000,eececde9-412e-4ec3-b0ac-78d0d0110804,
19855,4,0,30,2023-01-23 10:30:00.000,,,2023-01-23 10:32:32.563,2023-01-23 10:32:32.563,30,1.0833334,21.51,0.99,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:31:00.000,b1ec018d-2a23-49c5-b6f9-e515ffd51f03,
9655,4,0,20,2023-01-24 00:07:00.000,,,2023-01-24 00:07:56.495,2023-01-24 00:07:37.003,20,1.6384639,15.82,0.78,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-24 00:08:00.000,6426600b-1141-41c3-8a33-74d5b1e1ffe4,
16748,4,0,27,2023-01-23 20:16:00.000,,,2023-01-23 20:17:30.993,2023-01-23 20:17:30.993,27,1.1666666,19.54,0.89,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 20:17:00.000,3f95fa67-310c-4b74-956d-26352c613869,
12953,4,0,26,2023-01-23 04:37:00.000,,,2023-01-23 04:38:41.673,2023-01-23 04:38:41.673,26,1.5833334,20.51,0.79,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 04:38:00.000,86577005-6dbc-40ff-9d14-85e9fcfc5253,
4670,4,0,12,2023-01-23 10:46:00.000,,,2023-01-23 10:58:22.959,2023-01-23 10:58:22.959,12,2.111111,9.86,0.4,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:47:00.000,559ff834-7b12-4061-92bb-121d7d7c72f8,
