F0:F2:5B:20:91:AD,name
datetime,value
2023-01-26 11:57:32.672000,26.625
2023-01-26 11:57:33.673000,26.625
2023-01-26 11:57:34.672000,26.625
2023-01-26 11:57:35.672000,26.625
2023-01-26 11:57:36.671000,26.375
2023-01-26 11:57:37.672000,26.375
2023-01-26 11:57:38.672000,26.375
2023-01-26 11:57:39.671000,26.75
2023-01-26 11:57:40.672000,26.375
2023-01-26 11:57:41.672000,26.375
2023-01-26 11:57:42.671000,26.375
2023-01-26 11:57:43.672000,26.5
2023-01-26 11:57:44.671000,26.5
2023-01-26 11:57:45.671000,26.5
2023-01-26 11:57:46.672000,26.625
2023-01-26 11:57:47.671000,26.625
2023-01-26 11:57:48.671000,26.5
2023-01-26 11:57:49.672000,26.5
2023-01-26 11:57:50.671000,26.375
2023-01-26 11:57:51.671000,26.5
2023-01-26 11:57:52.670000,26.375
2023-01-26 11:57:53.671000,26.375
2023-01-26 11:57:54.671000,26.375
2023-01-26 11:57:55.670000,26.375
2023-01-26 11:57:56.671000,26.5
2023-01-26 11:57:57.671000,26.625
2023-01-26 11:57:58.670000,26.375
2023-01-26 11:57:59.671000,26.5
2023-01-26 11:58:00.670000,26.5
2023-01-26 11:58:01.670000,26.375
2023-01-26 11:58:02.671000,26.375
2023-01-26 11:58:03.670000,26.375
2023-01-26 11:58:04.670000,26.375
2023-01-26 11:58:05.671000,26.375
2023-01-26 11:58:06.670000,26.625
2023-01-26 11:58:07.670000,26.375
2023-01-26 11:58:08.669000,26.5
2023-01-26 11:58:09.670000,26.375
2023-01-26 11:58:10.670000,26.625
2023-01-26 11:58:11.669000,26.5
2023-01-26 11:58:12.670000,26.375
2023-01-26 11:58:13.670000,26.375
2023-01-26 11:58:14.669000,26.375
2023-01-26 11:58:15.670000,26.375
2023-01-26 11:58:16.669000,26.375
2023-01-26 11:58:17.669000,26.5
2023-01-26 11:58:18.670000,26.5
2023-01-26 11:58:19.669000,26.375
2023-01-26 11:58:20.669000,26.5
2023-01-26 11:58:21.670000,26.5
2023-01-26 11:58:22.669000,26.375
2023-01-26 11:58:23.669000,26.5
2023-01-26 11:58:24.668000,26.375
2023-01-26 11:58:25.669000,26.375
2023-01-26 11:58:26.669000,26.375
2023-01-26 11:58:27.668000,26.5
2023-01-26 11:58:28.669000,26.375
2023-01-26 11:58:29.669000,26.375
2023-01-26 11:58:30.668000,26.5
2023-01-26 11:58:31.669000,26.375
2023-01-26 11:58:32.668000,26.5
2023-01-26 11:58:33.668000,26.5
2023-01-26 11:58:34.669000,26.375
2023-01-26 11:58:35.668000,26.375
2023-01-26 11:58:36.668000,26.375
2023-01-26 11:58:37.669000,26.375
2023-01-26 11:58:38.668000,26.5
2023-01-26 11:58:39.668000,26.375
2023-01-26 11:58:40.667000,26.5
2023-01-26 11:58:41.668000,26.5
2023-01-26 11:58:42.668000,26.375
2023-01-26 11:58:43.667000,26.75
2023-01-26 11:58:44.668000,26.375
2023-01-26 11:58:45.668000,26.5
2023-01-26 11:58:46.667000,26.5
2023-01-26 11:58:47.668000,26.5
2023-01-26 11:58:48.667000,26.5
2023-01-26 11:58:49.667000,26.5
2023-01-26 11:58:50.668000,26.375
2023-01-26 11:58:51.667000,26.5
2023-01-26 11:58:52.667000,26.5
2023-01-26 11:58:53.668000,26.375
2023-01-26 11:58:54.667000,26.375
2023-01-26 11:58:55.667000,26.5
2023-01-26 11:58:56.666000,26.375
2023-01-26 11:58:57.667000,26.5
2023-01-26 11:58:58.667000,26.5
2023-01-26 11:58:59.666000,26.5
2023-01-26 11:59:00.667000,26.375
2023-01-26 11:59:01.667000,26.375
2023-01-26 11:59:02.666000,26.5
2023-01-26 11:59:03.667000,26.5
2023-01-26 11:59:04.666000,26.125
2023-01-26 11:59:05.666000,26.25
2023-01-26 11:59:06.667000,26.375
2023-01-26 11:59:07.666000,26.375
2023-01-26 11:59:08.666000,26.5
2023-01-26 11:59:09.667000,26.375
2023-01-26 11:59:10.666000,26.375
2023-01-26 11:59:11.666000,26.375
2023-01-26 11:59:12.665000,26.375
2023-01-26 11:59:13.666000,26.375
2023-01-26 11:59:14.666000,26.125
2023-01-26 11:59:15.665000,26.375
2023-01-26 11:59:16.666000,26.5
2023-01-26 11:59:17.666000,26.375
2023-01-26 11:59:18.665000,26.375
2023-01-26 11:59:19.666000,26.375
2023-01-26 11:59:20.665000,26.375
2023-01-26 11:59:21.665000,26.25
2023-01-26 11:59:22.666000,26.25
2023-01-26 11:59:23.665000,26.25
2023-01-26 11:59:24.665000,26.0
2023-01-26 11:59:25.666000,26.25
2023-01-26 11:59:26.665000,26.375
2023-01-26 11:59:27.665000,26.125
2023-01-26 11:59:28.664000,26.125
2023-01-26 11:59:29.665000,26.375
2023-01-26 11:59:30.665000,26.125
2023-01-26 11:59:31.664000,26.125
2023-01-26 11:59:32.665000,26.125
2023-01-26 11:59:33.665000,26.125
2023-01-26 11:59:34.664000,25.875
2023-01-26 11:59:35.665000,26.125
2023-01-26 11:59:36.664000,26.125
2023-01-26 11:59:37.664000,26.0
2023-01-26 11:59:38.665000,26.125
2023-01-26 11:59:39.664000,26.0
2023-01-26 11:59:40.664000,26.25
2023-01-26 11:59:41.665000,26.0
