FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 13:25:26.188000,6636
2023-01-26 13:25:27.189000,0
2023-01-26 13:25:28.188000,829
2023-01-26 13:25:29.188000,1777
2023-01-26 13:25:30.188000,1777
2023-01-26 13:25:31.188000,3430
2023-01-26 13:25:32.188000,3673
2023-01-26 13:25:33.188000,2488
2023-01-26 13:25:34.188000,0
2023-01-26 13:25:35.188000,0
2023-01-26 13:25:36.188000,0
2023-01-26 13:25:37.188000,0
2023-01-26 13:25:38.187000,0
2023-01-26 13:25:39.188000,0
2023-01-26 13:25:40.188000,0
2023-01-26 13:25:41.187000,0
2023-01-26 13:25:42.188000,2323
2023-01-26 13:25:43.188000,1066
2023-01-26 13:25:44.187000,7340
2023-01-26 13:25:45.188000,1896
2023-01-26 13:25:46.187000,1066
2023-01-26 13:25:47.187000,1066
2023-01-26 13:25:48.188000,1896
2023-01-26 13:25:49.187000,3081
2023-01-26 13:25:50.187000,3673
2023-01-26 13:25:51.188000,0
2023-01-26 13:25:52.187000,0
2023-01-26 13:25:53.187000,0
2023-01-26 13:25:54.186000,0
2023-01-26 13:25:55.187000,0
2023-01-26 13:25:56.187000,0
2023-01-26 13:25:57.186000,0
2023-01-26 13:25:58.187000,0
2023-01-26 13:25:59.187000,0
2023-01-26 13:26:00.186000,0
2023-01-26 13:26:01.187000,0
2023-01-26 13:26:02.186000,0
2023-01-26 13:26:03.186000,0
2023-01-26 13:26:04.187000,0
2023-01-26 13:26:05.186000,0
2023-01-26 13:26:06.186000,0
2023-01-26 13:26:07.187000,0
2023-01-26 13:26:08.186000,0
2023-01-26 13:26:09.186000,0
2023-01-26 13:26:10.185000,0
2023-01-26 13:26:11.186000,0
2023-01-26 13:26:12.186000,0
2023-01-26 13:26:13.185000,0
2023-01-26 13:26:14.186000,0
2023-01-26 13:26:15.186000,0
2023-01-26 13:26:16.185000,0
2023-01-26 13:26:17.186000,0
2023-01-26 13:26:18.186000,0
2023-01-26 13:26:19.185000,0
2023-01-26 13:26:20.186000,0
2023-01-26 13:26:21.185000,0
2023-01-26 13:26:22.185000,0
2023-01-26 13:26:23.186000,0
2023-01-26 13:26:24.185000,0
2023-01-26 13:26:25.185000,0
2023-01-26 13:26:26.186000,0
2023-01-26 13:26:27.185000,0
2023-01-26 13:26:28.185000,0
2023-01-26 13:26:29.184000,0
2023-01-26 13:26:30.185000,0
2023-01-26 13:26:31.185000,0
2023-01-26 13:26:32.184000,0
2023-01-26 13:26:33.185000,0
2023-01-26 13:26:34.185000,0
2023-01-26 13:26:35.184000,0
2023-01-26 13:26:36.185000,0
2023-01-26 13:26:37.184000,0
2023-01-26 13:26:38.184000,0
2023-01-26 13:26:39.185000,0
2023-01-26 13:26:40.184000,2323
2023-01-26 13:26:41.184000,0
2023-01-26 13:26:42.185000,0
2023-01-26 13:26:43.184000,2323
2023-01-26 13:26:44.184000,2323
2023-01-26 13:26:45.183000,948
2023-01-26 13:26:46.184000,1185
2023-01-26 13:26:47.184000,3081
2023-01-26 13:26:48.183000,1777
2023-01-26 13:26:49.184000,1777
2023-01-26 13:26:50.184000,5754
2023-01-26 13:26:51.183000,9663
2023-01-26 13:26:52.184000,948
2023-01-26 13:26:53.183000,1185
2023-01-26 13:26:54.183000,0
2023-01-26 13:26:55.184000,0
2023-01-26 13:26:56.183000,0
2023-01-26 13:26:57.183000,0
2023-01-26 13:26:58.182000,0
2023-01-26 13:26:59.183000,2323
2023-01-26 13:27:00.183000,0
2023-01-26 13:27:01.182000,0
2023-01-26 13:27:02.183000,0
2023-01-26 13:27:03.183000,0
2023-01-26 13:27:04.182000,2323
2023-01-26 13:27:05.183000,0
2023-01-26 13:27:06.182000,2323
2023-01-26 13:27:07.182000,0
2023-01-26 13:27:08.183000,0
2023-01-26 13:27:09.182000,0
2023-01-26 13:27:10.182000,0
2023-01-26 13:27:11.183000,2323
2023-01-26 13:27:12.182000,0
2023-01-26 13:27:13.182000,0
2023-01-26 13:27:14.183000,0
2023-01-26 13:27:15.182000,2323
2023-01-26 13:27:16.182000,2323
2023-01-26 13:27:17.181000,2323
2023-01-26 13:27:18.182000,2323
2023-01-26 13:27:19.182000,2323
2023-01-26 13:27:20.181000,0
2023-01-26 13:27:21.182000,0
2023-01-26 13:27:22.182000,0
2023-01-26 13:27:23.181000,0
2023-01-26 13:27:24.182000,0
2023-01-26 13:27:25.181000,0
2023-01-26 13:27:26.181000,0
2023-01-26 13:27:27.182000,0
2023-01-26 13:27:28.181000,829
2023-01-26 13:27:29.181000,0
2023-01-26 13:27:30.182000,0
2023-01-26 13:27:31.181000,0
2023-01-26 13:27:32.181000,0
2023-01-26 13:27:33.180000,0
2023-01-26 13:27:34.181000,0
