FD:A1:04:E0:B2:92,name
datetime,value
2023-01-25 21:00:32.532000,{x : -0.056, y : 0.653, z : -0.023}
2023-01-25 21:00:33.815000,{x : -0.182, y : 1.250, z : -0.205}
2023-01-25 21:00:35.098000,{x : 0.034, y : 0.946, z : 0.110}
2023-01-25 21:00:36.381000,{x : -0.004, y : 1.002, z : 0.140}
2023-01-25 21:00:37.664000,{x : -0.272, y : 0.926, z : -0.042}
2023-01-25 21:00:38.948000,{x : -0.093, y : 0.991, z : -0.100}
2023-01-25 21:00:40.229000,{x : -0.124, y : 0.981, z : -0.075}
2023-01-25 21:00:41.512000,{x : -0.112, y : 0.987, z : -0.083}
2023-01-25 21:00:42.796000,{x : -0.130, y : 0.973, z : -0.012}
2023-01-25 21:00:44.079000,{x : -0.159, y : 0.982, z : -0.054}
2023-01-25 21:00:45.362000,{x : -0.163, y : 0.958, z : 0.027}
2023-01-25 21:00:46.645000,{x : -0.084, y : 0.867, z : -0.402}
2023-01-25 21:00:47.928000,{x : -0.111, y : 0.984, z : 0.048}
2023-01-25 21:00:49.210000,{x : -0.081, y : 0.980, z : 0.078}
2023-01-25 21:00:50.493000,{x : -0.038, y : 1.006, z : 0.115}
2023-01-25 21:00:51.777000,{x : -0.488, y : 1.988, z : -0.415}
2023-01-25 21:00:53.058000,{x : -0.535, y : 0.927, z : -0.254}
2023-01-25 21:00:54.342000,{x : -0.120, y : 0.846, z : -0.315}
2023-01-25 21:00:55.625000,{x : -0.075, y : 0.995, z : 0.013}
2023-01-25 21:00:56.908000,{x : -0.087, y : 0.978, z : 0.113}
2023-01-25 21:00:58.190000,{x : -0.065, y : 0.991, z : 0.111}
2023-01-25 21:00:59.473000,{x : -0.184, y : 0.953, z : -0.237}
2023-01-25 21:01:00.756000,{x : -0.221, y : 0.925, z : -0.298}
2023-01-25 21:01:02.039000,{x : -0.221, y : 0.955, z : -0.232}
2023-01-25 21:01:03.323000,{x : -0.028, y : 1.005, z : -0.034}
2023-01-25 21:01:04.606000,{x : -0.271, y : 0.948, z : -0.150}
2023-01-25 21:01:05.889000,{x : -0.262, y : 0.940, z : -0.149}
2023-01-25 21:01:07.171000,{x : -0.265, y : 0.938, z : -0.164}
2023-01-25 21:01:08.454000,{x : -0.254, y : 0.933, z : -0.228}
2023-01-25 21:01:09.737000,{x : -0.309, y : 0.922, z : -0.248}
2023-01-25 21:01:11.020000,{x : -0.299, y : 0.913, z : -0.221}
2023-01-25 21:01:12.302000,{x : -0.311, y : 0.909, z : -0.230}
2023-01-25 21:01:13.585000,{x : -0.286, y : 0.931, z : -0.211}
2023-01-25 21:01:14.868000,{x : -0.304, y : 0.920, z : -0.229}
2023-01-25 21:01:16.152000,{x : -0.285, y : 0.903, z : -0.272}
2023-01-25 21:01:17.435000,{x : -0.021, y : 0.990, z : -0.089}
2023-01-25 21:01:18.717000,{x : -0.198, y : 0.960, z : 0.005}
2023-01-25 21:01:20,{x : -0.273, y : 0.944, z : -0.075}
2023-01-25 21:01:21.283000,{x : -0.295, y : 0.903, z : -0.285}
2023-01-25 21:01:22.566000,{x : -0.261, y : 0.904, z : -0.328}
2023-01-25 21:01:23.849000,{x : -0.013, y : 1.007, z : -0.014}
2023-01-25 21:01:25.133000,{x : 0.157, y : 0.979, z : -0.064}
2023-01-25 21:01:26.414000,{x : 0.032, y : 0.989, z : 0.089}
2023-01-25 21:01:27.698000,{x : 0.038, y : 0.980, z : -0.071}
2023-01-25 21:01:28.981000,{x : -0.179, y : 1.209, z : -0.175}
2023-01-25 21:01:30.264000,{x : -0.003, y : 0.967, z : -0.039}
2023-01-25 21:01:31.547000,{x : -0.110, y : 1.017, z : -0.056}
2023-01-25 21:01:32.829000,{x : -0.086, y : 0.982, z : -0.085}
2023-01-25 21:01:34.112000,{x : -0.174, y : 0.980, z : -0.063}
2023-01-25 21:01:35.395000,{x : -0.168, y : 0.956, z : -0.065}
2023-01-25 21:01:36.678000,{x : -0.144, y : 0.981, z : -0.077}
2023-01-25 21:01:37.962000,{x : -0.225, y : 0.970, z : -0.121}
2023-01-25 21:01:39.245000,{x : 0.004, y : 1.001, z : -0.033}
2023-01-25 21:01:40.527000,{x : -0.163, y : 0.929, z : -0.137}
2023-01-25 21:01:41.810000,{x : -0.065, y : 0.980, z : 0.009}
2023-01-25 21:01:43.093000,{x : -0.150, y : 0.884, z : -0.078}
2023-01-25 21:01:44.376000,{x : 0.001, y : 0.991, z : -0.107}
2023-01-25 21:01:45.659000,{x : -0.297, y : 0.983, z : -0.133}
2023-01-25 21:01:46.943000,{x : -0.110, y : 0.990, z : 0.147}
2023-01-25 21:01:48.226000,{x : -0.104, y : 0.948, z : -0.625}
2023-01-25 21:01:49.508000,{x : 0.020, y : 0.976, z : 0.001}
2023-01-25 21:01:50.791000,{x : -0.125, y : 0.977, z : -0.007}
2023-01-25 21:01:52.074000,{x : -0.271, y : 1.259, z : -0.205}
2023-01-25 21:01:53.357000,{x : -0.006, y : 1.002, z : 0.018}
2023-01-25 21:01:54.639000,{x : -0.275, y : 0.941, z : -0.112}
2023-01-25 21:01:55.922000,{x : 0.004, y : 0.993, z : -0.076}
2023-01-25 21:01:57.205000,{x : 0.019, y : 0.976, z : -0.088}
2023-01-25 21:01:58.489000,{x : -0.248, y : 1.068, z : -0.203}
2023-01-25 21:01:59.772000,{x : -0.056, y : 0.988, z : 0.024}
2023-01-25 21:02:01.055000,{x : -0.235, y : 0.953, z : 0.007}
2023-01-25 21:02:02.337000,{x : -0.164, y : 1.050, z : -0.060}
2023-01-25 21:02:03.620000,{x : -0.036, y : 1.028, z : -0.134}
2023-01-25 21:02:04.903000,{x : -0.038, y : 0.993, z : -0.008}
2023-01-25 21:02:06.186000,{x : -0.105, y : 1.000, z : -0.142}
2023-01-25 21:02:07.469000,{x : -0.233, y : 0.954, z : 0.083}
2023-01-25 21:02:08.751000,{x : -0.250, y : 0.951, z : 0.072}
2023-01-25 21:02:10.034000,{x : -0.252, y : 0.954, z : 0.068}
2023-01-25 21:02:11.318000,{x : -0.163, y : 0.922, z : -0.123}
2023-01-25 21:02:12.601000,{x : 0.021, y : 0.998, z : -0.014}
2023-01-25 21:02:13.884000,{x : -0.202, y : 0.971, z : -0.078}
2023-01-25 21:02:15.166000,{x : -0.175, y : 0.964, z : -0.145}
2023-01-25 21:02:16.449000,{x : -0.217, y : 0.966, z : 0.075}
2023-01-25 21:02:17.732000,{x : -0.312, y : 1.127, z : -0.282}
2023-01-25 21:02:19.015000,{x : -0.032, y : 0.981, z : 0.000}
2023-01-25 21:02:20.299000,{x : -0.062, y : 0.981, z : -0.221}
2023-01-25 21:02:21.582000,{x : -0.192, y : 0.961, z : 0.192}
2023-01-25 21:02:22.865000,{x : 0.015, y : 0.987, z : 0.040}
2023-01-25 21:02:24.148000,{x : -0.028, y : 0.987, z : -0.264}
2023-01-25 21:02:25.431000,{x : -0.007, y : 0.927, z : -0.178}
2023-01-25 21:02:26.713000,{x : -0.277, y : 0.930, z : 0.171}
2023-01-25 21:02:27.996000,{x : -0.251, y : 0.940, z : 0.209}
2023-01-25 21:02:29.280000,{x : -0.250, y : 0.934, z : 0.212}
2023-01-25 21:02:30.563000,{x : -0.241, y : 0.928, z : 0.209}
2023-01-25 21:02:31.846000,{x : -0.239, y : 0.929, z : 0.209}
2023-01-25 21:02:33.129000,{x : -0.207, y : 0.917, z : 0.269}
2023-01-25 21:02:34.412000,{x : -0.319, y : 0.938, z : -0.090}
2023-01-25 21:02:35.696000,{x : -0.278, y : 0.946, z : -0.068}
2023-01-25 21:02:36.977000,{x : -0.311, y : 0.939, z : -0.142}
2023-01-25 21:02:38.261000,{x : -0.268, y : 0.950, z : -0.035}
2023-01-25 21:02:39.544000,{x : -0.290, y : 0.938, z : -0.108}
2023-01-25 21:02:40.827000,{x : -0.312, y : 0.932, z : -0.118}
2023-01-25 21:02:42.110000,{x : -0.297, y : 0.934, z : -0.093}
2023-01-25 21:02:43.393000,{x : -0.302, y : 0.948, z : -0.092}
2023-01-25 21:02:44.677000,{x : -0.252, y : 0.951, z : -0.029}
2023-01-25 21:02:45.958000,{x : -0.304, y : 0.938, z : -0.089}
2023-01-25 21:02:47.241000,{x : -0.284, y : 0.947, z : -0.126}
2023-01-25 21:02:48.525000,{x : -0.088, y : 0.924, z : -0.026}
2023-01-25 21:02:49.808000,{x : -0.224, y : 1.270, z : -0.303}
2023-01-25 21:02:51.090000,{x : -0.054, y : 1.001, z : 0.007}
2023-01-25 21:02:52.373000,{x : -0.127, y : 0.977, z : 0.085}
2023-01-25 21:02:53.656000,{x : 0.040, y : 0.993, z : -0.092}
2023-01-25 21:02:54.939000,{x : 0.085, y : 0.986, z : -0.095}
2023-01-25 21:02:56.222000,{x : -0.025, y : 0.991, z : -0.044}
2023-01-25 21:02:57.506000,{x : -0.025, y : 0.988, z : -0.013}
2023-01-25 21:02:58.787000,{x : -0.009, y : 0.988, z : -0.023}
2023-01-25 21:03:00.071000,{x : -0.055, y : 0.982, z : 0.015}
2023-01-25 21:03:01.354000,{x : -0.199, y : 0.847, z : -0.128}
2023-01-25 21:03:02.637000,{x : -0.056, y : 1.014, z : -0.134}
2023-01-25 21:03:03.920000,{x : -0.061, y : 0.970, z : -0.212}
2023-01-25 21:03:05.203000,{x : -0.234, y : 0.961, z : -0.066}
2023-01-25 21:03:06.485000,{x : -0.124, y : 0.992, z : -0.102}
2023-01-25 21:03:07.768000,{x : -0.201, y : 0.965, z : -0.094}
2023-01-25 21:03:09.052000,{x : -0.189, y : 0.961, z : -0.101}
2023-01-25 21:03:10.335000,{x : -0.119, y : 0.982, z : -0.025}
2023-01-25 21:03:11.618000,{x : -0.035, y : 1.023, z : 0.055}
2023-01-25 21:03:12.900000,{x : -0.173, y : 1.019, z : -0.217}
2023-01-25 21:03:14.183000,{x : -0.070, y : 0.915, z : -0.085}
2023-01-25 21:03:15.466000,{x : -0.305, y : 0.935, z : 0.107}
2023-01-25 21:03:16.749000,{x : -0.261, y : 0.944, z : 0.133}
2023-01-25 21:03:18.032000,{x : -0.270, y : 0.940, z : 0.145}
2023-01-25 21:03:19.316000,{x : -0.229, y : 0.960, z : 0.015}
2023-01-25 21:03:20.599000,{x : -0.255, y : 0.955, z : 0.068}
2023-01-25 21:03:21.881000,{x : -0.213, y : 0.959, z : 0.064}
2023-01-25 21:03:23.164000,{x : -0.264, y : 0.954, z : 0.033}
2023-01-25 21:03:24.447000,{x : -0.271, y : 0.945, z : 0.024}
2023-01-25 21:03:25.730000,{x : -0.320, y : 0.930, z : -0.066}
2023-01-25 21:03:27.013000,{x : -0.312, y : 0.925, z : 0.070}
2023-01-25 21:03:28.295000,{x : -0.310, y : 0.933, z : 0.087}
2023-01-25 21:03:29.578000,{x : -0.315, y : 0.928, z : 0.053}
2023-01-25 21:03:30.862000,{x : -0.358, y : 0.918, z : 0.017}
2023-01-25 21:03:32.145000,{x : -0.222, y : 0.977, z : 0.041}
2023-01-25 21:03:33.428000,{x : -0.359, y : 0.916, z : -0.052}
2023-01-25 21:03:34.710000,{x : -0.032, y : 0.987, z : -0.022}
2023-01-25 21:03:35.993000,{x : -0.109, y : 1.004, z : -0.065}
2023-01-25 21:03:37.276000,{x : -0.136, y : 0.982, z : 0.039}
2023-01-25 21:03:38.559000,{x : -0.135, y : 0.977, z : 0.017}
2023-01-25 21:03:39.843000,{x : -0.134, y : 0.981, z : 0.025}
2023-01-25 21:03:41.124000,{x : -0.131, y : 0.988, z : 0.011}
2023-01-25 21:03:42.407000,{x : -0.129, y : 0.983, z : 0.005}
2023-01-25 21:03:43.691000,{x : -0.123, y : 0.969, z : 0.008}
2023-01-25 21:03:44.974000,{x : -0.141, y : 0.979, z : 0.005}
2023-01-25 21:03:46.256000,{x : -0.129, y : 0.978, z : 0.015}
2023-01-25 21:03:47.539000,{x : -0.120, y : 0.979, z : 0.041}
2023-01-25 21:03:48.822000,{x : -0.128, y : 0.978, z : 0.033}
2023-01-25 21:03:50.105000,{x : -0.118, y : 0.985, z : 0.040}
2023-01-25 21:03:51.388000,{x : 0.177, y : 0.898, z : -0.486}
2023-01-25 21:03:52.670000,{x : 0.047, y : 0.738, z : -0.752}
2023-01-25 21:03:53.953000,{x : 0.039, y : 0.703, z : -0.705}
2023-01-25 21:03:55.237000,{x : -0.049, y : 0.689, z : -0.709}
2023-01-25 21:03:56.520000,{x : -0.009, y : 0.691, z : -0.746}
2023-01-25 21:03:57.803000,{x : 0.078, y : 0.719, z : -0.722}
2023-01-25 21:03:59.086000,{x : 0.055, y : 0.704, z : -0.722}
2023-01-25 21:04:00.369000,{x : 0.095, y : 0.766, z : -0.620}
2023-01-25 21:04:01.651000,{x : 0.270, y : 0.798, z : -0.280}
2023-01-25 21:04:02.934000,{x : 0.136, y : 0.937, z : -0.300}
2023-01-25 21:04:04.218000,{x : 0.155, y : 0.967, z : -0.165}
2023-01-25 21:04:05.501000,{x : 0.179, y : 0.955, z : -0.221}
2023-01-25 21:04:06.784000,{x : 0.225, y : 0.965, z : -0.236}
2023-01-25 21:04:08.066000,{x : 0.174, y : 0.947, z : -0.287}
2023-01-25 21:04:09.349000,{x : 0.226, y : 1.023, z : -0.138}
2023-01-25 21:04:10.632000,{x : 0.217, y : 0.945, z : -0.323}
2023-01-25 21:04:11.915000,{x : 0.212, y : 0.921, z : -0.272}
2023-01-25 21:04:13.198000,{x : 0.035, y : 0.726, z : -0.639}
2023-01-25 21:04:14.482000,{x : 0.262, y : 0.819, z : -0.568}
2023-01-25 21:04:15.763000,{x : -0.024, y : 0.758, z : -0.698}
2023-01-25 21:04:17.047000,{x : 0.067, y : 0.750, z : -0.671}
2023-01-25 21:04:18.330000,{x : 0.071, y : 0.752, z : -0.660}
2023-01-25 21:04:19.613000,{x : 0.082, y : 0.741, z : -0.673}
2023-01-25 21:04:20.896000,{x : 0.098, y : 0.746, z : -0.675}
2023-01-25 21:04:22.178000,{x : -0.292, y : 0.877, z : -0.361}
2023-01-25 21:04:23.461000,{x : -0.024, y : 1.002, z : -0.100}
2023-01-25 21:04:24.744000,{x : -0.047, y : 0.991, z : -0.056}
2023-01-25 21:04:26.028000,{x : -0.065, y : 0.987, z : 0.051}
2023-01-25 21:04:27.311000,{x : -0.069, y : 0.988, z : -0.014}
2023-01-25 21:04:28.593000,{x : -0.055, y : 0.984, z : 0.018}
2023-01-25 21:04:29.876000,{x : -0.072, y : 0.989, z : -0.010}
2023-01-25 21:04:31.159000,{x : -0.058, y : 0.986, z : -0.009}
2023-01-25 21:04:32.442000,{x : -0.059, y : 0.992, z : -0.020}
2023-01-25 21:04:33.724000,{x : -0.072, y : 0.986, z : -0.011}
2023-01-25 21:04:35.007000,{x : 0.078, y : 0.970, z : -0.087}
2023-01-25 21:04:36.290000,{x : 0.156, y : 0.954, z : 0.172}
2023-01-25 21:04:37.573000,{x : -0.161, y : 0.942, z : 0.114}
2023-01-25 21:04:38.857000,{x : -0.082, y : 0.978, z : -0.027}
2023-01-25 21:04:40.138000,{x : -0.079, y : 0.989, z : -0.052}
2023-01-25 21:04:41.422000,{x : -0.066, y : 0.985, z : -0.041}
2023-01-25 21:04:42.705000,{x : -0.066, y : 0.990, z : -0.044}
2023-01-25 21:04:43.988000,{x : -0.064, y : 0.971, z : -0.045}
2023-01-25 21:04:45.271000,{x : -0.060, y : 1.039, z : -0.222}
2023-01-25 21:04:46.554000,{x : -0.081, y : 0.975, z : -0.125}
2023-01-25 21:04:47.838000,{x : -0.182, y : 0.971, z : -0.097}
2023-01-25 21:04:49.119000,{x : -0.140, y : 0.979, z : -0.092}
2023-01-25 21:04:50.403000,{x : -0.122, y : 0.986, z : -0.094}
